Gene Synonym,Gene name
CRYB2B,CRYBB2P1
BBS6,MKKS
HMCS,MKKS
KMS,MKKS
MKS,MKKS
C8orf68,DLGAP2
DAP2,DLGAP2
ERICH1-AS1,DLGAP2
SAPAP2,DLGAP2
ALS21,MATR3
MPD2,MATR3
VCPDM,MATR3
ARHGAP7,DLC1
HP,DLC1
p122-RhoGAP,DLC1
STARD12,DLC1
ATG8D,GABARAPL3
ADTB1L1,AP1B1P1
dJ127L4.2,AP1B1P1
4F-se4[6:7:8],CYP4F29P
C21orf15,CYP4F29P
CYP4F-se4[6:7:8],CYP4F29P
CYP4F3LP,CYP4F29P
PCDH-psi2,PCDHB18P
PCDHB18,PCDHB18P
C14orf107,LINC00216
NCRNA00216,LINC00216
PRO1617,LINC00216
OR5AL1P,OR5AL1
GLCC,COL18A1
KNO,COL18A1
KNO1,COL18A1
KS,COL18A1
TMEM191AP,TMEM191A
D-X,ULK4P3
FAM7A3,ULK4P3
D-X,ULK4P2
FAM7A1,ULK4P2
PC1L2,PKD1L2
LRRC62,ELFN2
PPP1R29,ELFN2
CROCCL2,CROCCP3
dJ798A10.2,CROCCP3
bA395L14.9,RPL23AP7
RPL23AL1,RPL23AP7
RPL23A_6_267,RPL23AP7
CFLP1,CFL1P1
bB329D4.2,NCOR1P1
C20orf191,NCOR1P1
ABCC13P,ABCC13
C21orf73,ABCC13
PRED6,ABCC13
CSTT,CST13P
CTES6,CST13P
ARHGEF29,SPATA13
ASEF2,SPATA13
CYorf15A,TXLNGY
CYorf15B,TXLNGY
TXLNG2P,TXLNGY
NANCI,SFTA3
PAHRF,SFTA3
SFTPH,SFTA3
SP-H,SFTA3
SPH,SFTA3
SUGT1L1,SUGT1P3
BCORL2,BCORP1
SDR25C3,DHRS4L2
Li174,UBE2NL
OR4Q2P,OR4Q2
C21orf81,ANKRD20A11P
HCCAT4,LINC01451
CTGLF12P,AGAP12P
PTPN20CP,AGAP12P
bA537A6.3,DNAJC9-AS1
C10orf103,DNAJC9-AS1
NF1HHS,NF1P2
NPEPPSL1,NPEPPSP1
LNMAT1,DUXAP10
PRAMEF24P,PRAMENP
