Study,Manuscript,Manuscript Year,Number of Samples Used,Links to Original Studies
E-MTAB-10043,"Bach K, et al.",2021,14,10.1038/s41467-021-21783-3
GSE124425,"Praktiknjo SD, et al.",2020,30,10.1038/s41467-020-14777-0
GSE125588,"Hosein AN, et al.",2019,5,10.1172/jci.insight.129212
GSE134255,"Vega PN, et al.",2022,7,10.3389/fonc.2022.878920
GSE135096,"Chen X, et al.",2020,5,10.1016/j.molcel.2020.08.017
GSE136246,"Maroni G, et al.",2021,5,10.1038/s42003-021-01897-6
GSE141017,"Schlesinger Y, et al.",2020,7,10.1038/s41467-020-18207-z
GSE146137,"Sfakianos JP, et al.",2020,3,10.1038/s41467-020-16162-3
GSE148445,"Blaha CS, et al.",2022,8,10.1038/s41467-022-28440-3
GSE149180,"Ireland AS, et al.",2020,4,10.1016/j.ccell.2020.05.001
GSE151426,"Brady NJ, et al.",2021,6,10.1038/s41467-021-23780-y
GSE152866,"Lo PK, et al.",2020,4,10.3390/cancers12082235
GSE154170,"Affo S, et al.",2021,4,10.1016/j.ccell.2021.03.012
GSE158677,"Valdés-Mora F, et al.",2021,5,10.1016/j.celrep.2021.108945
GSE162847,"Tang YJ, et al.",2021,6,10.1172/jci.insight.148768
GSE165534,"Carstens JL, et al.",2021,6,10.1016/j.celrep.2021.108990
GSE166298,"Chen Y, et al.",2021,3,10.1016/j.ccell.2021.02.007
GSE171336,"Germanos AA, et al.",2022,5,10.7554/eLife.79076
GSE172334,Unavailable,,3,Unavailable
GSE174182,"Kerzeli IK, et al.",2021,6,10.1371/journal.pone.0253178
GSE179041,"Wu LMN, et al.",2022,6,10.1126/sciadv.abo5442
GSE179111,"Di Pilato M, et al.",2021,8,10.1016/j.cell.2021.07.015
GSE179705,"Foster DS, et al.",2022,1,10.1016/j.ccell.2022.09.015
GSE180859,"Li DS, et al.",2021,26,10.1158/1535-7163.MCT-20-0620
GSE182388,"Thennavan A, et al.",2022,4,10.1038/s41523-022-00450-w
GSE188815,"Graf M, at al.",2022,3,10.1038/s41467-022-29152-4
GSE193416,"Garcia Garcia CJ, et al.",2022,3,10.1053/j.gastro.2022.02.024
GSE195914,"Tonelli C, et al.",2024,8,10.1136/gutjnl-2023-329839
GSE198337,"Landragin C, et al.",2025,6,10.1186/s12943-025-02331-9
GSE198758,"Li N, et al.",2023,4,10.1038/s41467-023-43746-6
GSE198815,"McAndrews KM, et al.",2022,14,10.1158/2159-8290.CD-20-1484
GSE199515,"Delgado AP, et al.",2022,10,10.1101/2022.05.05.490693
GSE200903,"Han L, et al.",2023,8,10.1038/s41467-022-34464-6
GSE201956,"Li D, et al.",2023,24,10.1126/sciadv.adc9446
GSE202157,"Glasner A, et al.",2023,3,10.1038/s41590-023-01504-2
GSE205263,"Houthuijzen JM, et al.",2023,18,10.1038/s41467-023-35793-w
GSE208205,"Savage H, et al.",2023,6,10.1158/2326-6066.CIR-22-0465
GSE210358,"Chan JM, et al.",2022,23,10.1126/science.abn0478
GSE212482,"Foster DS, et al.",2022,10,10.1016/j.ccell.2022.09.015
GSE213567,"Yang L, et al.",2023,15,10.1186/s13046-023-02689-y
GSE217846,"Caronni N, et al.",2023,4,10.1038/s41586-023-06685-2
GSE218774,"Wild SA, et al.",2022,18,10.7554/eLife.80981
GSE220540,"Seavey CN, et al.",2023,8,10.1158/1078-0432.CCR-22-2497
GSE222901,"Han G, et al.",2024,8,10.1038/s41586-024-07113-9
GSE225381,"Koelsch N, et al.",2023,4,10.1038/s41598-023-39020-w
GSE228836,"Yan R, et al.",2023,4,10.1158/2326-6066.CIR-22-0593
GSE228945,"Graham MK, et al.",2024,40,10.1038/s41467-024-51450-2
GSE228965,"Reyes-Castro RA, et al.",2023,5,10.1126/sciadv.adf6210
GSE229168,"Abdel-Hafiz HA, et al.",2023,10,10.1016/j.isci.2023.107703
GSE229226,"Chapple RH, et al.",2024,5,10.1186/s13059-024-03309-4
GSE234917,"Zhang Y, et al.",2024,4,10.1038/s41590-024-01932-8
GSE237636,"Broz MT, et al.",2024,5,10.1038/s41467-024-46504-4
GSE244582,"Wu W, et al.",2025,4,10.7554/eLife.101888
GSE245465,"Battula S, et al.",2023,4,10.1172/jci.insight.168224
GSE247058,"Cohen Shvefel S, et al.",2025,5,10.1158/2159-8290.CD-23-1422
GSE247072,"Hasselluhn MC, et al.",2024,3,10.1158/2159-8290.CD-23-0240
GSE247228,"Pinjusic K, et al.",2023,3,10.3389/fimmu.2023.1335207
GSE264054,"Castro-Pando S, et al.",2024,4,10.1158/2326-6066.CIR-23-0527
GSE264567,"Larsen RK, et al.",2026,7,10.1016/j.devcel.2025.09.001
GSE268865,"Folkert IW, et al.",2024,3,10.1084/jem.20230420
GSE273102,"Chen F, et al.",2025,4,10.1038/s43018-025-00952-z
GSE277228,"Pascual R, et al.",2025,3,10.1038/s44318-025-00422-3
GSE277268,"Tao Y, et al.",2025,6,10.1016/j.apsb.2025.05.013
GSE285359,Unavailable,,6,Unavailable
GSE285794,"Zhu Y, et al.",2025,6,10.1016/j.ccell.2025.03.015
GSE290180,"Krantz S, et al.",2026,8,10.1158/0008-5472.CAN-25-1109
GSE290572,"Glass SE, et al.",2025,6,10.1172/jci.insight.186938
GSE303696,"Wu M, et al.",2026,3,10.1038/s41420-026-03070-6
