Study,Manuscript,Manuscript Year,Number of Samples Used,Links to Original Studies
E-MTAB-10607,"Tietscher S, et al.",2023,7,10.1038/s41467-022-35238-w
E-MTAB-11310,"Saout JR, et al.",2023,7,10.1016/j.eururo.2023.02.008
E-MTAB-11948,"Li C, et al.",2022,5,10.1038/s42003-022-04142-w
E-MTAB-12305,"Li C, et al.",2022,7,10.3389/fimmu.2022.966291
E-MTAB-8107,"Qian J, et al.",2020,48,10.1038/s41422-020-0355-0
GSE111672,"Moncada R, et al.",2020,13,10.1038/s41587-019-0392-8
GSE112271,"Losic B, et al.",2020,7,10.1038/s41467-019-14050-z
GSE117570,"Song Q, et al.",2019,8,10.1002/cam4.2113
GSE118828,"Shih AJ, et al.",2018,9,10.1371/journal.pone.0206785
GSE123813,"Yost KE, et al.",2019,2,10.1038/s41591-019-0522-3
GSE123902,"Laughney AM, et al.",2020,12,10.1038/s41591-019-0750-6
GSE125449,"Ma L, et al.",2019,19,10.1016/j.ccell.2019.08.007
GSE126111,"Waise S, et al.",2019,4,10.1038/s41598-019-45842-4
GSE127465,"Zilionis R, et al.",2019,9,10.1016/j.immuni.2019.03.009
GSE130000,"Kan T, et al.",2020,6,10.1038/s41388-021-02139-z
GSE131309,"Jerby-Arnon L, et al.",2021,3,10.1038/s41591-020-01212-6
GSE131907,"Kim N, et al.",2020,22,10.1038/s41467-020-16164-1
GSE132257,"Lee HO, et al.",2020,10,10.1038/s41588-020-0636-z
GSE132465,"Lee HO, et al.",2020,33,10.1038/s41588-020-0636-z
GSE135337,"Lai H, et al.",2021,8,10.1002/ijc.33794
GSE136246,"Maroni G, et al.",2021,24,10.1038/s42003-021-01897-6
GSE137804,"Dong R, et al.",2020,10,10.1016/j.ccell.2020.08.014
GSE137829,"Dong B, et al.",2020,6,10.1038/s42003-020-01476-1
GSE138433,"Pandiani C, et al.",2021,6,10.1038/s41418-020-00730-7
GSE138709,"Zhang M, et al.",2020,8,10.1016/j.jhep.2020.05.039
GSE139829,"Durante MA, et al.",2020,8,10.1038/s41467-019-14256-1
GSE140042,"Zhang W, et al.",2022,10,10.1038/s41592-022-01498-z
GSE141445,"Chen S, et al.",2021,13,10.1038/s41556-020-00613-6
GSE141526,"Yao CD, et al.",2020,6,10.1038/s41467-020-18762-5
GSE144236,"Ji AL, et al.",2020,20,10.1016/j.cell.2020.05.039
GSE144735,"Lee HO, et al.",2020,18,10.1038/s41588-020-0636-z
GSE145281,"Yuen KC, et al.",2020,4,10.1038/s41591-020-0860-1
GSE147766,"Verhoeven BM, et al.",2022,19,10.1016/j.xcrm.2022.100657
GSE148071,"Wu F, et al.",2021,42,10.1038/s41467-021-22801-0
GSE148466,"Aissa AF, et al.",2021,2,10.1038/s41467-021-21884-z
GSE148673,"Gao R, et al.",2021,12,10.1038/s41587-020-00795-2
GSE149201,"Khazaei S, et al.",2020,4,10.1158/2159-8290.CD-20-0461
GSE149614,"Lu Y, et al.",2022,18,10.1038/s41467-022-32283-3
GSE150290,"Kim J, et al.",2022,52,10.1038/s41698-022-00251-1
GSE150825,"Gong L, et al.",2021,11,10.1038/s41467-021-21795-z
GSE151530,"Ma L, et al.",2021,43,10.1016/j.jhep.2021.06.028
GSE152048,"Zhou Y, et al.",2020,11,10.1038/s41467-020-20059-6
GSE152938,"Su C, et al.",2021,5,10.3389/fonc.2021.719564
GSE153935,"Hanley CJ, et al.",2023,18,10.1038/s41467-023-35832-6
GSE154600,"Geistlinger L, et al.",2020,5,10.1158/0008-5472.CAN-20-0521
GSE154778,"Lin W, et al.",2020,8,10.1186/s13073-020-00776-9
GSE155109,"Geldhof V, et al.",2022,32,10.1038/s41467-022-33052-y
GSE155698,"Steele NG, et al.",2020,19,10.1038/s43018-020-00121-4
GSE156625,"Sharma A, et al.",2020,57,10.1016/j.cell.2020.08.040
GSE156632,"Zhang M, et al.",2022,12,10.1002/ctm2.713
GSE158724,"Griffiths JI, et al.",2021,73,10.1038/s43018-021-00215-7
GSE158937,"Hippen AA, et al.",2021,3,10.1371/journal.pcbi.1009290
GSE159115,"Zhang Y, et al.",2021,14,10.1073/pnas.2103240118
GSE160269,"Zhang X, et al.",2021,64,10.1038/s41467-021-25539-x
GSE161529,"Pal B, et al.",2021,51,10.15252/embj.2020107333
GSE162025,"Liu Y, et al.",2021,10,10.1038/s41467-021-21043-4
GSE162115,"Mao X, et al.",2021,4,10.1111/cas.14795
GSE162454,"Liu Y, et al.",2021,6,10.3389/fonc.2021.709210
GSE163558,"Jiang H, et al.",2022,4,10.1002/ctm2.730
GSE164690,"KŸrten CHL, et al.",2021,15,10.1038/s41467-021-27619-4
GSE166555,"Uhlitz F, et al.",2021,25,10.15252/emmm.202114123
GSE167036,"Liu T, et al.",2022,8,10.1038/s41467-022-34581-2
GSE167297,"Jeong HY, et al.",2021,4,10.1158/1078-0432.CCR-21-0792
GSE168434,"Wu C, et al.",2022,10,10.1038/s41419-022-04904-8
GSE172577,"Peng Y, et al.",2021,6,10.1016/j.oraloncology.2021.105348
GSE173682,"Regner MJ, et al.",2021,11,10.1016/j.molcel.2021.10.013
GSE173950,"Walker RC, et al.",2023,74,10.21203/rs.3.rs-2572575/v1
GSE174376,"Patel AG, et al.",2022,20,10.1016/j.devcel.2022.04.003
GSE176078,"Wu SZ, et al.",2021,26,10.1038/s41588-021-00911-1
GSE178481,"Alchahin AM, et al.",2022,26,10.1038/s41467-022-33375-w
GSE179033,"Wu LM, et al.",2022,14,10.1126/sciadv.abo5442
GSE180665,"Bondoc A, et al. ",2021,3,10.1038/s42003-021-02562-8
GSE181294,"Hirz T, et al.",2023,39,10.1038/s41467-023-36325-2
GSE181907,"Yerly L, et al.",2022,5,10.1038/s41467-022-32670-w
GSE181919,"Choi JH, et al.",2023,29,10.1038/s41467-023-36691-x
GSE183219,"Grout JA, et al.",2022,27,10.1158/2159-8290.CD-21-1714
GSE183904,"Kumar V, et al.",2022,36,10.1158/2159-8290.CD-21-0683
GSE184362,"Pu W, et al.",2021,13,10.1038/s41467-021-26343-3
GSE184880,"Xu J, et al.",2022,12,10.1158/1078-0432.CCR-22-0296
GSE185344,"Wong HY, et al. ",2022,14,10.1038/s41467-022-33780-1
GSE185965,"Chung CH, et al.",2023,3,10.1002/advs.202204514
GSE188711,"Guo W, et al.",2022,6,10.1172/jci.insight.152616
GSE188900,"Pan X, et al. ",2022,8,10.1038/s41392-022-00946-8
GSE189341,"Farshidfar F, et al.",2022,3,10.1038/s41467-022-28566-4
GSE189903,"Ma L, et al.",2022,34,10.1038/s41467-022-35291-5
GSE190597,"Giotti B, et al.",2024,13,10.1158/2159-8290.CD-23-0017
GSE190888,"Luo Y, et al.",2022,3,10.3389/fonc.2022.818147
GSE191288,"Wang T, et al.",2022,7,10.3389/fimmu.2022.840811
GSE191301,"Shen Y, et al.",2022,6,10.1038/s41389-022-00419-1
GSE192898,"Kwon J, et al.",2023,9,10.1038/s41587-023-01686-y
GSE193304,"Zou DD, et al.",2023,13,10.7554/eLife.85270
GSE193337,"Heidegger I, et al.",2022,8,10.1186/s12943-022-01597-7
GSE193581,"Lu L, et al.",2023,23,10.1172/JCI169653
GSE194070,"Wang D, et al.",2024,16,10.1002/ctm2.1786
GSE194247,"Kim S, et al.",2024,5,10.1186/s13073-024-01287-7
GSE195655,"Horny K, et al.",2023,8,10.1186/s12967-023-04102-w
GSE195709,"Wei Y, et al.",2022,4,10.1038/s43018-022-00414-w
GSE195832,"Obradovic A, et al.",2022,8,10.1158/1078-0432.CCR-21-3570
GSE196420,"Field MG, et al.",2022,5,10.1126/sciadv.abm8466
GSE196756,"Shi K, et al. ",2022,6,10.1096/fj.202200898R
GSE196964,"Dmitrieva-Posocco O, et al.",2022,13,10.1038/s41586-022-04649-6
GSE197177,"Zhang S, et al.",2023,4,10.1038/s41467-023-40727-7
GSE197677,"Okuda S, et al. ",2023,19,10.1016/j.isci.2023.106480
GSE198315,"Kim S, et al.",2025,17,10.1016/j.isci.2025.112988
GSE199515,"Delgado AP, et al. ",2024,3,10.1101/2022.05.05.490693
GSE200256,Unavailable,,40,Unavailable
GSE200972,"Wang Y, et al.",2023,14,10.1038/s41419-023-05992-w
GSE200997,"Khaliq AM, et al.",2022,23,10.1186/s13059-022-02677-z
GSE201047,"Loret N, et al.",2022,6,10.1158/1541-7786.MCR-21-0565
GSE201348,"Becker WR, et al.",2022,72,10.1038/s41588-022-01088-x
GSE202374,"Chow J, et al. ",2023,6,10.1136/jitc-2022-006392
GSE202642,"Zhu GQ, et al.",2023,11,10.1038/s41421-023-00529-z
GSE203067,"Jia Y, et al.",2023,8,10.1002/advs.202204565
GSE203360,"He Y, et al.",2022,6,10.3389/fimmu.2022.903513
GSE203608,"Li N, et al.",2023,11,10.1038/s41467-023-43746-6
GSE203612,"Barkley D, et al.",2022,15,10.1038/s41588-022-01141-9
GSE205013,"Werba G, et al.",2023,17,10.1038/s41467-023-36296-4
GSE205335,Unavailable,,4,Unavailable
GSE205506,"Li J, et al.",2023,40,10.1016/j.ccell.2023.04.011
GSE206962,Unavailable,,4,Unavailable
GSE207399,"Suppiah S, et al.",2023,6,10.1038/s41467-023-38432-6
GSE207493,"Yu Z, et al.",2023,19,10.1158/0008-5472.CAN-22-2224
GSE208653,"Guo C, et al. ",2023,7,10.1002/ctm2.1219
GSE210066,"Keenan BP, et al.",2022,4,10.1016/j.celrep.2022.111384
GSE210750,"van IJzendoorn DGP, et al.",2022,8,10.1158/1078-0432.CCR-22-1898
GSE211644,"Schalck A, et al.",2022,34,10.1158/2159-8290.CD-21-1248
GSE211956,"Denisenko E, et al.",2024,5,10.1038/s41467-024-47271-y
GSE212046,"Filliol A, et al.",2022,4,10.1038/s41586-022-05289-6
GSE212461,"Foster, et al.",2022,4,10.1016/j.ccell.2022.09.015
GSE212707,"Foster, et al.",2022,3,10.1016/j.ccell.2022.09.015
GSE212966,"Chen K, et al.",2023,9,10.1186/s12967-023-04051-4
GSE214295,"Chen K, et al.",2024,3,10.1016/j.canlet.2023.216586
GSE215120,"Zhang C, et al. ",2022,10,10.1038/s41467-022-34877-3
GSE215403,"Kurkalang S, et al.",2023,12,10.1111/cas.15979
GSE217517,"Hippen AA, et al.",2023,8,10.1186/s13059-023-03077-7
GSE218170,"Schütz S, et al.",2023,5,10.1038/s41467-023-41141-9
GSE221493,"Gruel N, et al.",2024,31,10.1038/s41467-024-52067-1
GSE221561,"Yang Y, et al.",2023,11,10.1038/s41392-023-01518-0
GSE222300,"Guo L, et al. ",2023,3,10.1053/j.gastro.2023.04.029
GSE222315,"Zheng H, et al.",2024,13,10.1016/j.ccell.2024.02.002
GSE222556,"Luo Y, et al.",2024,25,10.1016/j.cell.2024.06.013
GSE224327,"Li X, et al.",2025,6,10.1007/s00262-025-04083-3
GSE224630,"Saout JR, et al.",2023,5,10.1016/j.eururo.2023.02.008
GSE227898,"Wu Y, et al. ",2023,10,10.1038/s41467-023-37211-7
GSE228499,"Joo EH, et al.",2024,9,10.3390/ijms25115876
GSE229253,"Dolgalev I, et al.",2023,33,10.1038/s41467-023-42327-x
GSE229343,"Cao M, et al. ",2023,3,10.3389/fimmu.2023.1131814
GSE229413,"Carpenter ES, et al.",2023,32,10.1158/2159-8290.CD-23-0013
GSE231539,"Tsutsumi C, et al.",2024,13,10.1007/s10120-023-01456-4
GSE232314,"Mellors JW, et al.",2024,4,10.1038/s42003-023-05733-x
GSE233615,"Brand J, et al.",2024,3,10.1016/j.isci.2024.108990
GSE234933,"Bill R, et al.",2023,24,10.1126/science.ade2292
GSE235090,"Reinstein ZZ, et al.",2024,41,10.1158/2159-8290.CD-23-0798
GSE235329,"Perkiö A, et al.",2024,22,10.1038/s41598-024-54113-w
GSE236696,"Zhou H, et al.",2024,12,10.1002/ctm2.1701
GSE240112,"Fang K, et al.",2024,8,10.1186/s13073-024-01407-3
GSE242230,"Storrs EP, et al.",2023,25,10.1038/s41698-023-00455-z
GSE242299,"Zvirblyte J, et al.",2024,29,10.1038/s42003-024-06478-x
GSE243526,"Regner MJ, et al.",2025,16,10.1016/j.xgen.2025.100765
GSE246613,"Shiao SL, et al.",2023,143,10.1016/j.ccell.2023.12.012
GSE249995,"Liu Y, et al.",2024,2,10.1038/s42003-023-05732-y
GSE250521,"Liao T, et al.",2025,9,10.1016/j.xcrm.2025.102043
GSE253865,"Bonine N, et al.",2024,2,10.1016/j.celrep.2024.114804
GSE256136,"Ye Z, et al.",2024,18,10.1016/j.isci.2024.110836
GSE260953,Unavailable,,4,Unavailable
GSE261957,"Münter D, et al.",2025,10,10.1016/j.jhep.2025.01.031
GSE263995,"Jin H, et al.",2024,6,10.1016/j.isci.2024.109902
GSE264586,"Msaouel P, et al.",2025,2,10.1038/s41467-024-55642-8
GSE267718,"Tran MA, et al.",2024,9,10.1084/jem.20240045
GSE269826,"Lombardi O, et al.",2024,59,10.1016/j.celrep.2024.115169
GSE274934,"Baek S, et al.",2025,9,10.1002/cac2.12658
GSE277083,"Goodspeed A, et al.",2025,7,10.1158/1078-0432.CCR-24-2040
GSE277165,"Stubenvoll A, et al.",2025,10,10.1002/cac2.12651
GSE277524,"Liu S, et al.",2024,3,10.1038/s42003-024-07343-7
GSE278689,"Chen MM, et al.",2025,8,10.1016/j.ccell.2025.06.020
GSE279998,"Hyeon DY, et al.",2025,12,10.1186/s12943-025-02256-3
GSE280982,"Zenga J, et al.",2025,11,10.1038/s41467-025-60827-w
GSE281288,"Xu W, et al.",2025,3,10.1016/j.celrep.2024.115226
GSE281740,"Kawasaki K, et al.",2025,5,10.1038/s41467-025-60141-5
GSE282343,"Liu Z, et al.",2025,8,10.1038/s42003-025-08443-8
GSE282701,"Liu K, et al.",2024,12,10.1101/2024.12.30.630656
GSE284205,"Benmebarek MR, et al.",2025,7,10.1016/j.immuni.2025.02.017
GSE290141,"Mikulak J, et al.",2025,4,10.1038/s41419-025-07557-5
GSE290925,"Liu H, et al.",2025,12,10.1016/j.isci.2025.112266
GSE290927,"Fu ZM, et al.",2025,20,10.1158/1078-0432.CCR-24-3679
GSE291160,"Baron M, et al.",2025,4,10.1038/s41588-025-02163-9
GSE291670,"Huang Z, et al.",2025,5,10.1186/s12967-025-06485-4
GSE292163,"Somech E, et al.",2025,10,10.7554/eLife.101153
GSE292298,"Dadey RE, et al.",2025,5,10.1136/jitc-2025-011537
GSE300685,"Ito A, et al.",2026,8,10.64898/2026.01.01.696292
